Date,Name,Year,Letterboxd URI,Rating
2021-03-07,Orphan,2009,https://boxd.it/1CgM,3.5
2021-03-07,The Invisible Man,2020,https://boxd.it/kWlA,4
2021-03-07,Striptease,1996,https://boxd.it/1XCY,2
2021-03-07,The Little Shop of Horrors,1960,https://boxd.it/1xDm,2
2021-03-07,12 Angry Men,1957,https://boxd.it/2auI,4
2021-03-07,No Country for Old Men,2007,https://boxd.it/21ew,5
2021-03-12,Aliens,1986,https://boxd.it/29PA,4.5
2021-03-12,Gunpowder,2017,https://boxd.it/hu4g,3
2021-03-15,Gone with the Wind,1939,https://boxd.it/29Fq,2.5
2021-03-17,Popcorn,1991,https://boxd.it/131C,3
2021-03-18,Subspecies,1991,https://boxd.it/1wZm,2
2021-03-19,City Lights,1931,https://boxd.it/29ki,3
2021-03-20,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2021-03-20,Unforgiven,1992,https://boxd.it/6Z4,4.5
2021-03-20,"20,000 Leagues Under the Sea",1954,https://boxd.it/2aXq,2.5
2021-03-20,The Prestige,2006,https://boxd.it/293w,4.5
2021-03-21,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
2021-03-22,The Mummy,1999,https://boxd.it/2a7a,4.5
2021-03-22,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2021-03-22,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
2021-03-22,It,2017,https://boxd.it/bC8e,3
2021-03-23,It Chapter Two,2019,https://boxd.it/h10u,2
2021-04-09,What Lies Below,2020,https://boxd.it/qPQ4,2.5
2021-04-12,I Care a Lot,2020,https://boxd.it/mcHk,4.5
2021-04-13,Legally Blonde,2001,https://boxd.it/1ZNa,5
2021-04-18,1BR,2019,https://boxd.it/mBag,3.5
2021-04-20,Thunder Force,2021,https://boxd.it/mLsE,2
2021-04-21,Before I Wake,2016,https://boxd.it/9BgC,2
2021-04-25,Mystery Men,1999,https://boxd.it/1XIM,2.5
2021-05-12,Ready Player One,2018,https://boxd.it/aZes,2
2021-05-12,Dead Silence,2007,https://boxd.it/1OWK,1.5
2021-05-13,Superman,1978,https://boxd.it/27Qm,3
2021-05-19,Psycho,1960,https://boxd.it/2ab2,5
2021-05-19,Nightmare Weekend,1986,https://boxd.it/3XTY,1
