Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-03-12,Gunpowder,2017,https://boxd.it/1IukxD,3,,"This was a bit odd for me because it's just people being oppressed fighting back and failing to make a difference. I was roughly aware of the gunpowder plot and the little rhyme that goes with it, I was unaware that there was a larger driving force behind the conspiracy.",,2021-03-11
2021-03-15,Gone with the Wind,1939,https://boxd.it/1IU1tp,2.5,,"It's over 80 years old at the last time I watched it. The South apologist nature of the film cannot be denied. However given that it's 80 years old it is an amazing piece of not just historical depiction but of a prominent viewpoint that's within living memory still.

The actress playing Scarlet is so good at showing utter contempt for the people that she's talking to. Her transformation through the film is pretty great to watch.

It's awfully long.",,2021-03-14
2021-03-17,Popcorn,1991,https://boxd.it/1JfOuN,3,,"I used to see this at Blockbuster when I was looking through the horror flicks and the cover always made me say nah. I finally watched it and I didn't think it was half bad. I especially thought the revenge plot of the killer was pretty damn funny and well done.

It definitely reminded me of revenge flicks like slaughter high from the '80s. If you're out to watch a horror movie that is meant to be just enjoyed and not seriously pursued or honestly scared by this is a good fit.",,2021-03-16
2021-03-18,Subspecies,1991,https://boxd.it/1JhseH,2,,This was kind of a wretched movie. I thought Twilight was the first instance of emo vampires but this one definitely had that going on. it also for no real explicable reason had the stop action guys from the gate in it. about the only redeeming thing I found in this movie was I really liked the funeral parade that reminded me of New Orleans and the ceremony towards the end where they check all the graves for undead by seeing if a white horse will jump over them. It was very bizarre and I didn't think I'd seen anything quite like that.,deleted,2021-03-17
2021-03-18,Paranormal Activity,2007,https://boxd.it/1JjjU9,3.5,,I'm a sucker for found footage type movies. I know trying to inject a camera into the situation can make it a little hooky sometimes and the story seem forced but in this case I feel like the reason to have a camera was quite well explained. For as little special effects as they put into this they did a pretty good job. watch us at night with nothing knowing about it going in and I got to believe that you're going to be a little bit freaked out.,,2021-03-17
2021-03-19,City Lights,1931,https://boxd.it/1JsIeP,3,,"This is a hard one to judge. I have a real hard time with 90 minutes of a silent film, but choreographed physical comedy was quite good. I think it's funny because pantomiming and silent films rely completely on the idea of stereotypical characters and tropes to allow the simplistic gestures convey the meaning of the characters. If somebody tries to put that on film these days when they talk they get lambasted for not making characters with depth.",,2021-03-18
2021-03-20,The Silence of the Lambs,1991,https://boxd.it/1JyZOn,4.5,,I think this is a deeply disturbing film.,,2021-03-19
2021-03-20,Unforgiven,1992,https://boxd.it/1JzmZt,4.5,,"Gene Hackman is an incredible actor, and this role he plays full of menace is just beautiful to watch.

Everyone's acting in this film I feel is dead on. I really don't care for westerns very much but this movie is brilliant. The final third has to be some of the best filmmaking I've ever seen.",,2021-03-19
2021-03-21,Star Wars: The Force Awakens,2015,https://boxd.it/1JNe8p,3,,"I don't like the Poe character very much. I like everyone else just fine. I wish they didn't do another death star as the final act of the movie. That's a bit lame.

I give it meh.",,2021-03-20
2021-03-22,The Mummy,1999,https://boxd.it/1JRBVd,4.5,,"While the CGI is showing it's age, everything else about this movie is just spot on for me. It doesn't hit any false notes for me. If it's trying for creepy, it gets it. If it's trying for swashbuckling and some romance that hits true too. If you are looking for an adventure movie about raiding some tombs for glory and treasure this is a great one. If you feel like raiding tombs is colonialist and gross, maybe skip it.",,2021-03-21
2021-03-22,Once Upon a Time... in Hollywood,2019,https://boxd.it/1JU9Y5,4,,"I'm not crazy about the meandering story involving the manson family. I'm tired of fantasy history that terintino peddles. But there are two things I think this movie is amazing for doing. One is the sets are amazing, and bring me back to my childhood in southern california. It's eerie. It's a bit before my time but not enough for me to feel it bleeding through the screen and it was incredibly well done. The second is the whole scene around a bad guy part in a western tv show. It was just stunning acting. I was spellbound through the whole thing.",,2020-09-15
2021-03-22,It,2017,https://boxd.it/1JXhkj,3,,It was just alright,,2021-03-21
2021-03-23,It Chapter Two,2019,https://boxd.it/1JZUEB,2,,"While I found the first part meh, this one actually slipped into kinda action adventure and I got a bit bored. I strongly dislike CGI adventure, it feels so low stakes and borders on wankery to me.",,2021-03-22
